"","D","M","Y","J"
"1","01","01","1993","000070493"
"2","01","02","1993","000070524"
"3","01","03","1993","000070552"
"4","01","04","1993","000070583"
"5","01","05","1993","000070613"
"6","01","06","1993","000070644"
"7","01","07","1993","000070674"
"8","01","08","1993","000070705"
"9","01","09","1993","000070736"
"10","01","10","1993","000070766"
"11","01","11","1993","000070797"
"12","01","12","1993","000070827"
"13","01","01","1994","000070858"
"14","01","02","1994","000070889"
"15","01","03","1994","000070917"
"16","01","04","1994","000070948"
"17","01","05","1994","000070978"
"18","01","06","1994","000071009"
"19","01","07","1994","000071039"
"20","01","08","1994","000071070"
"21","01","09","1994","000071101"
"22","01","10","1994","000071131"
"23","01","11","1994","000071162"
"24","01","12","1994","000071192"
"25","01","01","1995","000071223"
"26","01","02","1995","000071254"
"27","01","03","1995","000071282"
"28","01","04","1995","000071313"
"29","01","05","1995","000071343"
"30","01","06","1995","000071374"
"31","01","07","1995","000071404"
"32","01","08","1995","000071435"
"33","01","09","1995","000071466"
"34","01","10","1995","000071496"
"35","01","11","1995","000071527"
"36","01","12","1995","000071557"
"37","01","01","1996","000071588"
"38","01","02","1996","000071619"
"39","01","03","1996","000071648"
"40","01","04","1996","000071679"
"41","01","05","1996","000071709"
"42","01","06","1996","000071740"
"43","01","07","1996","000071770"
"44","01","08","1996","000071801"
"45","01","09","1996","000071832"
"46","01","10","1996","000071862"
"47","01","11","1996","000071893"
"48","01","12","1996","000071923"
"49","01","01","1997","000071954"
"50","01","02","1997","000071985"
"51","01","03","1997","000072013"
"52","01","04","1997","000072044"
"53","01","05","1997","000072074"
"54","01","06","1997","000072105"
"55","01","07","1997","000072135"
"56","01","08","1997","000072166"
"57","01","09","1997","000072197"
"58","01","10","1997","000072227"
"59","01","11","1997","000072258"
"60","01","12","1997","000072288"
"61","01","01","1998","000072319"
"62","01","02","1998","000072350"
"63","01","03","1998","000072378"
"64","01","04","1998","000072409"
"65","01","05","1998","000072439"
"66","01","06","1998","000072470"
"67","01","07","1998","000072500"
"68","01","08","1998","000072531"
"69","01","09","1998","000072562"
"70","01","10","1998","000072592"
"71","01","11","1998","000072623"
"72","01","12","1998","000072653"
"73","01","01","1999","000072684"
"74","01","02","1999","000072715"
"75","01","03","1999","000072743"
"76","01","04","1999","000072774"
"77","01","05","1999","000072804"
"78","01","06","1999","000072835"
"79","01","07","1999","000072865"
"80","01","08","1999","000072896"
"81","01","09","1999","000072927"
"82","01","10","1999","000072957"
"83","01","11","1999","000072988"
"84","01","12","1999","000073018"
"85","01","01","2000","000073049"
"86","01","02","2000","000073080"
"87","01","03","2000","000073109"
"88","01","04","2000","000073140"
"89","01","05","2000","000073170"
"90","01","06","2000","000073201"
"91","01","07","2000","000073231"
"92","01","08","2000","000073262"
"93","01","09","2000","000073293"
"94","01","10","2000","000073323"
"95","01","11","2000","000073354"
"96","01","12","2000","000073384"
"97","01","01","2001","000073415"
"98","01","02","2001","000073446"
"99","01","03","2001","000073474"
"100","01","04","2001","000073505"
"101","01","05","2001","000073535"
"102","01","06","2001","000073566"
"103","01","07","2001","000073596"
"104","01","08","2001","000073627"
"105","01","09","2001","000073658"
"106","01","10","2001","000073688"
"107","01","11","2001","000073719"
"108","01","12","2001","000073749"
"109","01","01","2002","000073780"
"110","01","02","2002","000073811"
"111","01","03","2002","000073839"
"112","01","04","2002","000073870"
"113","01","05","2002","000073900"
"114","01","06","2002","000073931"
"115","01","07","2002","000073961"
"116","01","08","2002","000073992"
"117","01","09","2002","000074023"
"118","01","10","2002","000074053"
"119","01","11","2002","000074084"
"120","01","12","2002","000074114"
"121","01","01","2003","000074145"
"122","01","02","2003","000074176"
"123","01","03","2003","000074204"
"124","01","04","2003","000074235"
"125","01","05","2003","000074265"
"126","01","06","2003","000074296"
"127","01","07","2003","000074326"
"128","01","08","2003","000074357"
"129","01","09","2003","000074388"
"130","01","10","2003","000074418"
"131","01","11","2003","000074449"
"132","01","12","2003","000074479"
"133","01","01","2004","000074510"
"134","01","02","2004","000074541"
"135","01","03","2004","000074570"
"136","01","04","2004","000074601"
"137","01","05","2004","000074631"
"138","01","06","2004","000074662"
"139","01","07","2004","000074692"
"140","01","08","2004","000074723"
"141","01","09","2004","000074754"
"142","01","10","2004","000074784"
"143","01","11","2004","000074815"
"144","01","12","2004","000074845"
"145","01","01","2005","000074876"
"146","01","02","2005","000074907"
"147","01","03","2005","000074935"
"148","01","04","2005","000074966"
"149","01","05","2005","000074996"
"150","01","06","2005","000075027"
"151","01","07","2005","000075057"
"152","01","08","2005","000075088"
"153","01","09","2005","000075119"
"154","01","10","2005","000075149"
"155","01","11","2005","000075180"
"156","01","12","2005","000075210"
"157","01","01","2006","000075241"
"158","01","02","2006","000075272"
"159","01","03","2006","000075300"
"160","01","04","2006","000075331"
"161","01","05","2006","000075361"
"162","01","06","2006","000075392"
"163","01","07","2006","000075422"
"164","01","08","2006","000075453"
"165","01","09","2006","000075484"
"166","01","10","2006","000075514"
"167","01","11","2006","000075545"
"168","01","12","2006","000075575"
"169","01","01","2007","000075606"
"170","01","02","2007","000075637"
"171","01","03","2007","000075665"
"172","01","04","2007","000075696"
"173","01","05","2007","000075726"
"174","01","06","2007","000075757"
"175","01","07","2007","000075787"
"176","01","08","2007","000075818"
"177","01","09","2007","000075849"
"178","01","10","2007","000075879"
"179","01","11","2007","000075910"
"180","01","12","2007","000075940"
"181","01","01","2008","000075971"
"182","01","02","2008","000076002"
"183","01","03","2008","000076031"
"184","01","04","2008","000076062"
"185","01","05","2008","000076092"
"186","01","06","2008","000076123"
"187","01","07","2008","000076153"
"188","01","08","2008","000076184"
"189","01","09","2008","000076215"
"190","01","10","2008","000076245"
"191","01","11","2008","000076276"
"192","01","12","2008","000076306"
"193","01","01","2009","000076337"
"194","01","02","2009","000076368"
"195","01","03","2009","000076396"
"196","01","04","2009","000076427"
"197","01","05","2009","000076457"
"198","01","06","2009","000076488"
"199","01","07","2009","000076518"
"200","01","08","2009","000076549"
"201","01","09","2009","000076580"
"202","01","10","2009","000076610"
"203","01","11","2009","000076641"
"204","01","12","2009","000076671"
"205","01","01","2010","000076702"
"206","01","02","2010","000076733"
"207","01","03","2010","000076761"
"208","01","04","2010","000076792"
"209","01","05","2010","000076822"
"210","01","06","2010","000076853"
"211","01","07","2010","000076883"
"212","01","08","2010","000076914"
"213","01","09","2010","000076945"
"214","01","10","2010","000076975"
"215","01","11","2010","000077006"
"216","01","12","2010","000077036"
"217","01","01","2011","000077067"
"218","01","02","2011","000077098"
"219","01","03","2011","000077126"
"220","01","04","2011","000077157"
"221","01","05","2011","000077187"
"222","01","06","2011","000077218"
"223","01","07","2011","000077248"
"224","01","08","2011","000077279"
"225","01","09","2011","000077310"
"226","01","10","2011","000077340"
"227","01","11","2011","000077371"
"228","01","12","2011","000077401"
"229","01","01","2012","000077432"
"230","01","02","2012","000077463"
"231","01","03","2012","000077492"
"232","01","04","2012","000077523"
"233","01","05","2012","000077553"
"234","01","06","2012","000077584"
"235","01","07","2012","000077614"
"236","01","08","2012","000077645"
"237","01","09","2012","000077676"
"238","01","10","2012","000077706"
"239","01","11","2012","000077737"
"240","01","12","2012","000077767"
"241","01","01","2013","000077798"
"242","01","02","2013","000077829"
